NamedEntity-Miscellanies: CSU-Fraktion |frequenzy: 4016
NamedEntity-Miscellanies: können;denn  |frequenzy: 1
NamedEntity-Miscellanies: EDF-Framatome-Konzern |frequenzy: 1
NamedEntity-Miscellanies: Beraterkreis |frequenzy: 1
NamedEntity-Miscellanies: Zur Zuständigkeit |frequenzy: 1
NamedEntity-Miscellanies: Ihr Angriff auf das Arbeitszeitgesetz |frequenzy: 1
NamedEntity-Miscellanies: Länderkommission |frequenzy: 1
NamedEntity-Miscellanies: Person Soldatin |frequenzy: 1
NamedEntity-Miscellanies: Wissenschaftlichem |frequenzy: 1
NamedEntity-Miscellanies: Fernsehgeräten!30  |frequenzy: 1
NamedEntity-Miscellanies: Einzelplans 14 |frequenzy: 1
NamedEntity-Miscellanies: Liebe Kollegin |frequenzy: 1
NamedEntity-Miscellanies: zehn Jahre auf den Wohnungsmärkten |frequenzy: 1
NamedEntity-Miscellanies: Tag von mir Ihnen! |frequenzy: 1
NamedEntity-Miscellanies: GroKo-Sondierungsergebnisse  |frequenzy: 1
NamedEntity-Miscellanies: Für Wähler |frequenzy: 1
NamedEntity-Miscellanies: klimapolitisches |frequenzy: 1
NamedEntity-Miscellanies: Frontiers of Science |frequenzy: 1
NamedEntity-Miscellanies: Ein Herr Möllemann |frequenzy: 1
NamedEntity-Miscellanies: Bundeskulturfonds |frequenzy: 1
NamedEntity-Miscellanies: Shake and Vape |frequenzy: 1
NamedEntity-Miscellanies: Level  |frequenzy: 1
NamedEntity-Miscellanies: NaCl |frequenzy: 1
NamedEntity-Miscellanies: englischen Sprache |frequenzy: 1
NamedEntity-Miscellanies: THW 225 Millionen |frequenzy: 1
NamedEntity-Miscellanies: Afghanische |frequenzy: 1
NamedEntity-Miscellanies: Vermieter-Mieter-Dilemmas |frequenzy: 1
NamedEntity-Miscellanies: Beste für die Betroffenen |frequenzy: 1
NamedEntity-Miscellanies: Jahr 2004 In |frequenzy: 1
NamedEntity-Miscellanies: ungarischen Grenze |frequenzy: 1
NamedEntity-Miscellanies: diskutiert „Das macht gar nichts“ |frequenzy: 1
NamedEntity-Miscellanies: Ihr Mindestlohn |frequenzy: 1
NamedEntity-Miscellanies: Bundestagswahl 2005 |frequenzy: 1
NamedEntity-Miscellanies: Das denkt jeder  |frequenzy: 1
NamedEntity-Miscellanies: Sanktionen individueller Art |frequenzy: 1
NamedEntity-Miscellanies: Das reicht mir nicht |frequenzy: 1
NamedEntity-Miscellanies: Wenn Kinder von Landwirten |frequenzy: 1
NamedEntity-Miscellanies: Im vergangenen Schuljahr |frequenzy: 1
NamedEntity-Miscellanies: Sie Ersatzfreiheitsstrafen |frequenzy: 1
NamedEntity-Miscellanies: YouTube-Google-Konzern |frequenzy: 1
NamedEntity-Miscellanies: Opfergruppen in Namibia |frequenzy: 1
NamedEntity-Miscellanies: Mal im Jahr |frequenzy: 1
NamedEntity-Miscellanies: 24-Stunden-Pflegerinnen |frequenzy: 1
NamedEntity-Miscellanies: Wirtschaftshorizont |frequenzy: 1
NamedEntity-Miscellanies: Gegengewalt  |frequenzy: 1
NamedEntity-Miscellanies: Herumschraubens an der Verfassung |frequenzy: 1
NamedEntity-Miscellanies: Die Schließungen |frequenzy: 1
NamedEntity-Miscellanies: transpazifische Abkommen |frequenzy: 1
NamedEntity-Miscellanies: Euro erhalten,– |frequenzy: 1
NamedEntity-Miscellanies: Resümee  |frequenzy: 1
NamedEntity-Miscellanies: charakterisiere ich euch |frequenzy: 1
NamedEntity-Miscellanies: back to normal |frequenzy: 1
NamedEntity-Miscellanies: Sozialplan  |frequenzy: 1
NamedEntity-Miscellanies: Doha-Dokument |frequenzy: 1
NamedEntity-Miscellanies: Herz unserer Demokratie |frequenzy: 1
NamedEntity-Miscellanies: Einsatzbereitschaft  |frequenzy: 1
NamedEntity-Miscellanies: Binnenmarktes der Europäischen Union |frequenzy: 1
NamedEntity-Miscellanies: Verfassungs- |frequenzy: 1
NamedEntity-Miscellanies: Jahrgänge  |frequenzy: 1
NamedEntity-Miscellanies: Jahrzehnts  |frequenzy: 1
NamedEntity-Miscellanies: Eurasischen Wirtschaftsunion |frequenzy: 1
NamedEntity-Miscellanies: Zerwürfnissen |frequenzy: 1
NamedEntity-Miscellanies: Der Missbrauch |frequenzy: 1
NamedEntity-Miscellanies: Die Wahlrechtsausschlüsse |frequenzy: 1
NamedEntity-Miscellanies: Tag für Tag hochwertige Lebensmittel |frequenzy: 1
NamedEntity-Miscellanies: Berliner Prozess  |frequenzy: 1
NamedEntity-Miscellanies: Ihr Herr |frequenzy: 1
NamedEntity-Miscellanies: Aktenzeichen XY |frequenzy: 1
NamedEntity-Miscellanies: BND-Mitarbeitern |frequenzy: 1
NamedEntity-Miscellanies: Pro­blemlagen |frequenzy: 1
NamedEntity-Miscellanies: Liebe Vertreter der Religionsgemeinschaften auf der Tribüne! |frequenzy: 1
NamedEntity-Miscellanies: Deutsche Sprache |frequenzy: 1
NamedEntity-Miscellanies: Antragspapier der Linken |frequenzy: 1
NamedEntity-Miscellanies: Die Zeit der Freiheitsrechte |frequenzy: 1
NamedEntity-Miscellanies: Oslo-Prozesses |frequenzy: 1
NamedEntity-Miscellanies: Brot-und-Butter-Themen |frequenzy: 1
NamedEntity-Miscellanies: Vom-Tisch-Wischen |frequenzy: 1
NamedEntity-Miscellanies: vo­ran |frequenzy: 1
NamedEntity-Miscellanies: Nehmerländern |frequenzy: 1
NamedEntity-Miscellanies: Islam  |frequenzy: 1
NamedEntity-Miscellanies: Bergkarabach-Frage |frequenzy: 1
NamedEntity-Miscellanies: Genfer Flüchtlingskommission |frequenzy: 1
NamedEntity-Miscellanies: Der andere Blick“ ebendiese jungen Menschen |frequenzy: 1
NamedEntity-Miscellanies: CCW-Verhandlungen |frequenzy: 1
NamedEntity-Miscellanies: Gleichstellungsgesetz |frequenzy: 1
NamedEntity-Miscellanies: irgendwelchen Umweltlobbyisten |frequenzy: 1
NamedEntity-Miscellanies: GTAZ allen Ernstes |frequenzy: 1
NamedEntity-Miscellanies: Bundeswehr­etat |frequenzy: 1
NamedEntity-Miscellanies: Unternehmerlohn |frequenzy: 1
NamedEntity-Miscellanies: Showdown-Sitzungen |frequenzy: 1
NamedEntity-Miscellanies: Jobwachstum |frequenzy: 1
NamedEntity-Miscellanies: Opt-outs |frequenzy: 1
NamedEntity-Miscellanies: Die Wende |frequenzy: 1
NamedEntity-Miscellanies: Kita  |frequenzy: 1
NamedEntity-Miscellanies: Dutschke-Stipendium  |frequenzy: 1
NamedEntity-Miscellanies: SV-Ausweis |frequenzy: 1
NamedEntity-Miscellanies: Thacis |frequenzy: 1
NamedEntity-Miscellanies: Jahr 407  |frequenzy: 1
NamedEntity-Miscellanies: Vertrag vom Dezember letzten Jahres |frequenzy: 1
NamedEntity-Miscellanies: Todesopfer durch Corona |frequenzy: 1
NamedEntity-Miscellanies: super Sonder-AfA  |frequenzy: 1
NamedEntity-Miscellanies: Emissionsquelle |frequenzy: 1
NamedEntity-Miscellanies: Holocaustmahnmale der Schande |frequenzy: 1
NamedEntity-Miscellanies: hat – Mir |frequenzy: 1
NamedEntity-Miscellanies: Die Zugehörigkeit zum deutschen Staatsvolk |frequenzy: 1
NamedEntity-Miscellanies: Das mache ich aber gerne |frequenzy: 1
NamedEntity-Miscellanies: EU-Außenminister“,Stichwort  |frequenzy: 1
NamedEntity-Miscellanies: Anlaufjahre |frequenzy: 1
NamedEntity-Miscellanies: Impfbeginns |frequenzy: 1
NamedEntity-Miscellanies: Stay on Board“ Schaffen wir Räume |frequenzy: 1
NamedEntity-Miscellanies: EFSF |frequenzy: 1
NamedEntity-Miscellanies: Mandates  |frequenzy: 1
NamedEntity-Miscellanies: NATO-Kommando |frequenzy: 1
NamedEntity-Miscellanies: hat 1Anlage |frequenzy: 1
NamedEntity-Miscellanies: Bericht für das Jahr  |frequenzy: 1
NamedEntity-Miscellanies: Do the right things |frequenzy: 1
NamedEntity-Miscellanies: Afrikapolitik |frequenzy: 1
NamedEntity-Miscellanies: Die Strategie |frequenzy: 1
NamedEntity-Miscellanies: Dienstleistungsbranche |frequenzy: 1
NamedEntity-Miscellanies: MittagFalkoMohrsClaudia |frequenzy: 1
NamedEntity-Miscellanies: Gesichtsmaske |frequenzy: 1
NamedEntity-Miscellanies: Dr  Castellucci |frequenzy: 1
NamedEntity-Miscellanies: BKM  |frequenzy: 1
NamedEntity-Miscellanies: Tag des Brexits |frequenzy: 1
NamedEntity-Miscellanies: Green Food |frequenzy: 1
NamedEntity-Miscellanies: Haushaltsansatzes |frequenzy: 1
NamedEntity-Miscellanies: Kongo-Konferenz |frequenzy: 1
NamedEntity-Miscellanies: Wahlrecht |frequenzy: 1
NamedEntity-Miscellanies: Future Skills |frequenzy: 1
NamedEntity-Miscellanies: Zero Draft |frequenzy: 1
NamedEntity-Miscellanies: VW 9,8  |frequenzy: 1
NamedEntity-Miscellanies: Pödelwitz |frequenzy: 1
NamedEntity-Miscellanies: Tatvideos |frequenzy: 1
NamedEntity-Miscellanies: Dumawahlen |frequenzy: 1
NamedEntity-Miscellanies: 10  Tag |frequenzy: 1
NamedEntity-Miscellanies: Schnittchen |frequenzy: 1
NamedEntity-Miscellanies: Die Kollegin Dr  Birke Bull-Bischoff |frequenzy: 1
NamedEntity-Miscellanies: Der junge Stipendiat |frequenzy: 1
NamedEntity-Miscellanies: Agenda der Bundesregierung |frequenzy: 1
NamedEntity-Miscellanies: Steuerentlastungsgesetz |frequenzy: 1
NamedEntity-Miscellanies: Coronaschutz |frequenzy: 1
NamedEntity-Miscellanies: Doing Business Index |frequenzy: 1
NamedEntity-Miscellanies: Sie Kontroversen |frequenzy: 1
NamedEntity-Miscellanies: Veith  |frequenzy: 1
NamedEntity-Miscellanies: Permanent Structured Cooperation |frequenzy: 1
NamedEntity-Miscellanies: Friedich-Ebert-Stiftung |frequenzy: 1
NamedEntity-Miscellanies: Die Maghreb-Staaten |frequenzy: 1
NamedEntity-Miscellanies: CFS |frequenzy: 1
NamedEntity-Miscellanies: Hartz-IV-Ausgaben |frequenzy: 1
NamedEntity-Miscellanies: Vertrag zur deutschen Einheit |frequenzy: 1
NamedEntity-Miscellanies: schauen –  |frequenzy: 1
NamedEntity-Miscellanies: Groko-Null |frequenzy: 1
NamedEntity-Miscellanies: Zentralen Ausländerbehörde |frequenzy: 1
NamedEntity-Miscellanies: Die erste Kurzintervention |frequenzy: 1
NamedEntity-Miscellanies: Werten des Jahres  |frequenzy: 1
NamedEntity-Miscellanies: Gerechte Bildungschancen |frequenzy: 1
NamedEntity-Miscellanies: Stadt-Land-Gefälle |frequenzy: 1
NamedEntity-Miscellanies: Kundenauthentifizierung |frequenzy: 1
NamedEntity-Miscellanies: Angriff gegen die rationale Problemlösung der |frequenzy: 1
NamedEntity-Miscellanies: Infektionsketten |frequenzy: 1
NamedEntity-Miscellanies: Das sollten wir im richtigen Kontext |frequenzy: 1
NamedEntity-Miscellanies: Backloading-Beschluss |frequenzy: 1
NamedEntity-Miscellanies: da?–  |frequenzy: 1
NamedEntity-Miscellanies: Vermittlungsabsprachen |frequenzy: 1
NamedEntity-Miscellanies: Signal nach Italien |frequenzy: 1
NamedEntity-Miscellanies: System der Vergleichsmieten |frequenzy: 1
NamedEntity-Miscellanies: Elterngeld-Plus-Monate |frequenzy: 1
NamedEntity-Miscellanies: zweiten Fußnote |frequenzy: 1
NamedEntity-Miscellanies: 5  Juni |frequenzy: 1
NamedEntity-Miscellanies: vier Jahre müssen |frequenzy: 1
NamedEntity-Miscellanies: Weil Rechtsetzung |frequenzy: 1
NamedEntity-Miscellanies: LA 2 |frequenzy: 1
NamedEntity-Miscellanies: Bunthörnchen |frequenzy: 1
NamedEntity-Miscellanies: AfD Nein |frequenzy: 1
NamedEntity-Miscellanies: versteht – |frequenzy: 1
NamedEntity-Miscellanies: Parlamentarischen Abend der Lebenshilfe |frequenzy: 1
NamedEntity-Miscellanies: Pu­schen |frequenzy: 1
NamedEntity-Miscellanies: Wartehäuschen |frequenzy: 1
NamedEntity-Miscellanies: Ausnahmeentscheidung  |frequenzy: 1
NamedEntity-Miscellanies: EbnerMatthias GastelKai GehringStefan GelbhaarBritta HaßelmannDr |frequenzy: 1
NamedEntity-Miscellanies: EM 2012 |frequenzy: 1
NamedEntity-Miscellanies: Stasi-Unterlagen-Gesetzes |frequenzy: 1
NamedEntity-Miscellanies: CO2-Gehalt |frequenzy: 1
NamedEntity-Miscellanies: Initiativthemen |frequenzy: 1
NamedEntity-Miscellanies: Maksimovics |frequenzy: 1
NamedEntity-Miscellanies: Jahr über 1,5  |frequenzy: 1
NamedEntity-Miscellanies: Jahr geschnürt haben |frequenzy: 1
NamedEntity-Miscellanies: Der Rechtsstaat in Form des Bundesjustizministeriums |frequenzy: 1
NamedEntity-Miscellanies: Passagiere 1,5  |frequenzy: 1
NamedEntity-Miscellanies: Raumfahrtnation China |frequenzy: 1
NamedEntity-Miscellanies: Niederländische |frequenzy: 1
NamedEntity-Miscellanies: Mord und Völkermord |frequenzy: 1
NamedEntity-Miscellanies: Die Reaktionszeiten |frequenzy: 1
NamedEntity-Miscellanies: drei Jahre sich hinziehenden Scheindebatten |frequenzy: 1
NamedEntity-Miscellanies: alles bei uns |frequenzy: 1
NamedEntity-Miscellanies: Kommunen 95 |frequenzy: 1
NamedEntity-Miscellanies: Europä­ische Menschenrechtskonvention |frequenzy: 1
NamedEntity-Miscellanies: Covid-19  Warum |frequenzy: 1
NamedEntity-Miscellanies: Partnerschaftsbonusmonaten |frequenzy: 1
NamedEntity-Miscellanies: Ernährungsmöglichkeiten |frequenzy: 1
NamedEntity-Miscellanies: Lösungskomplexe |frequenzy: 1
NamedEntity-Miscellanies: Jubiläums |frequenzy: 1
NamedEntity-Miscellanies: Aufgabenerfüllung |frequenzy: 1
NamedEntity-Miscellanies: GW im Jahr |frequenzy: 1
NamedEntity-Miscellanies: Automobilkonzernen |frequenzy: 1
NamedEntity-Miscellanies: Die Fernsehbilder vom Sturm |frequenzy: 1
NamedEntity-Miscellanies: Grauens“ Das |frequenzy: 1
NamedEntity-Miscellanies: 100 Die Coronawochen |frequenzy: 1
NamedEntity-Miscellanies: Sie Ihre Hilfen |frequenzy: 1
NamedEntity-Miscellanies: Bruttobetrages |frequenzy: 1
NamedEntity-Miscellanies: Mann unter Umständen |frequenzy: 1
NamedEntity-Miscellanies: CDUdeutliche |frequenzy: 1
NamedEntity-Miscellanies: Marktorganisationsgesetzes |frequenzy: 1
NamedEntity-Miscellanies: Isch’s oi Bub |frequenzy: 1
NamedEntity-Miscellanies: Inanspruchnahmen |frequenzy: 1
NamedEntity-Miscellanies: Atomenergieausstieg |frequenzy: 1
NamedEntity-Miscellanies: Haussind |frequenzy: 1
NamedEntity-Miscellanies: Prägt der Mann |frequenzy: 1
NamedEntity-Miscellanies: Saarländischen |frequenzy: 1
NamedEntity-Miscellanies: Inverted Classroom |frequenzy: 1
NamedEntity-Miscellanies: Die anlasslose Massenüberwachung |frequenzy: 1
NamedEntity-Miscellanies: Vordergrund stellen:2013 |frequenzy: 1
NamedEntity-Miscellanies: Strommix Elektrofahrzeuge |frequenzy: 1
NamedEntity-Miscellanies: Praktikumsplatz |frequenzy: 1
NamedEntity-Miscellanies: HDP  |frequenzy: 1
NamedEntity-Miscellanies: Plant Managers |frequenzy: 1
NamedEntity-Miscellanies: KfW-Unternehmenskredite |frequenzy: 1
NamedEntity-Miscellanies: 400 Vizepräsident |frequenzy: 1
NamedEntity-Miscellanies: Landwirtschaftsetat |frequenzy: 1
NamedEntity-Miscellanies: Attentat von Nizza |frequenzy: 1
NamedEntity-Miscellanies: Grundsteuer C |frequenzy: 1
NamedEntity-Miscellanies: Du Ungläubige |frequenzy: 1
NamedEntity-Miscellanies: DAV-Stellungnahme zum Referentenentwurf  |frequenzy: 1
NamedEntity-Miscellanies: Board of Governors |frequenzy: 1
NamedEntity-Miscellanies: Barcelona-Prozess |frequenzy: 1
NamedEntity-Miscellanies: Tag 600 |frequenzy: 1
NamedEntity-Miscellanies: Verfassung der Vereinigten Staaten |frequenzy: 1
NamedEntity-Miscellanies: Die Steuereinnahmen der Länder und Kommunen |frequenzy: 1
NamedEntity-Miscellanies: ja erstmal okay |frequenzy: 1
NamedEntity-Miscellanies: Klassenteilungen |frequenzy: 1
NamedEntity-Miscellanies: Premier al-Abadi |frequenzy: 1
NamedEntity-Miscellanies: Anschlags am Breitscheidplatz |frequenzy: 1
NamedEntity-Miscellanies: Meine Erklärungen |frequenzy: 1
NamedEntity-Miscellanies: Olympia  |frequenzy: 1
NamedEntity-Miscellanies: Rettung des Abendlandes |frequenzy: 1
NamedEntity-Miscellanies: Syrien-Touristen |frequenzy: 1
NamedEntity-Miscellanies: Jahr 100 |frequenzy: 1
NamedEntity-Miscellanies: brancheneinheitlicher |frequenzy: 1
NamedEntity-Miscellanies: Die Braut von |frequenzy: 1
NamedEntity-Miscellanies: vier Jahre herangezogen |frequenzy: 1
NamedEntity-Miscellanies: Vertrag vom 12  September 1990 |frequenzy: 1
NamedEntity-Miscellanies: Hochschulzugang |frequenzy: 1
NamedEntity-Miscellanies: Hirten-Bauern-Konflikt |frequenzy: 1
NamedEntity-Miscellanies: Betreuungsangebot für Kinder |frequenzy: 1
NamedEntity-Miscellanies: Scheckkartenmissbrauch |frequenzy: 1
NamedEntity-Miscellanies: Berliner Senatüber |frequenzy: 1
NamedEntity-Miscellanies: Der große Profiteur |frequenzy: 1
NamedEntity-Miscellanies: maßgebliche GLÖZ-Standards |frequenzy: 1
NamedEntity-Miscellanies: Das heißt ja nichts anderes |frequenzy: 1
NamedEntity-Miscellanies: Voriges Jahr |frequenzy: 1
NamedEntity-Miscellanies: Terroranschlägen wie dem furchtbaren Anschlag von Halle |frequenzy: 1
NamedEntity-Miscellanies: Jahr 0 |frequenzy: 1
NamedEntity-Miscellanies: Pflegeverbesserungsgesetz |frequenzy: 1
NamedEntity-Miscellanies: RALs |frequenzy: 1
NamedEntity-Miscellanies: auszugleichen |frequenzy: 1
NamedEntity-Miscellanies: Netzausrüster Huawei |frequenzy: 1
NamedEntity-Miscellanies: Eine Woche |frequenzy: 1
NamedEntity-Miscellanies: AZR-Nummern |frequenzy: 1
NamedEntity-Miscellanies: deutsche NATO-Mitgliedschaft |frequenzy: 1
NamedEntity-Miscellanies: Sofas |frequenzy: 1
NamedEntity-Miscellanies: Audi Q5 |frequenzy: 1
NamedEntity-Miscellanies: Zutritt für Kinder |frequenzy: 1
NamedEntity-Miscellanies: Judenvernichtung der deutschen Geschichte |frequenzy: 1
NamedEntity-Miscellanies: Stracke  |frequenzy: 1
NamedEntity-Miscellanies: Die Kollegin Dağdelen |frequenzy: 1
NamedEntity-Miscellanies: CSU-Skurrilitäten |frequenzy: 1
NamedEntity-Miscellanies: Das halte ich für unverantwortlich |frequenzy: 1
NamedEntity-Miscellanies: Orga-DBa |frequenzy: 1
NamedEntity-Miscellanies: vier Jahre bestanden |frequenzy: 1
NamedEntity-Miscellanies: Sie Platz für theatralisch heulende Migranten |frequenzy: 1
NamedEntity-Miscellanies: Wohneigentum  |frequenzy: 1
NamedEntity-Miscellanies: Minister Altmaier  |frequenzy: 1
NamedEntity-Miscellanies: Kraftakt – |frequenzy: 1
NamedEntity-Miscellanies: Jahr 1956 |frequenzy: 1
NamedEntity-Miscellanies: Menschenrechtsorganisation Open Doors |frequenzy: 1
NamedEntity-Miscellanies: Aktionsplan 2015 |frequenzy: 1
NamedEntity-Miscellanies: WLAN-Gesetz |frequenzy: 1
NamedEntity-Miscellanies: Totalitarismus  |frequenzy: 1
NamedEntity-Miscellanies: lassen:„Das haben wir ja |frequenzy: 1
NamedEntity-Miscellanies: OECD-Staaten der Fall |frequenzy: 1
NamedEntity-Miscellanies: deutschen Überfalls |frequenzy: 1
NamedEntity-Miscellanies: Haftungskaskade  |frequenzy: 1
NamedEntity-Miscellanies: NO x -Auswirkung |frequenzy: 1
NamedEntity-Miscellanies: Organisationen;denn |frequenzy: 1
NamedEntity-Miscellanies: Das liest sich erst |frequenzy: 1
NamedEntity-Miscellanies: Coronaüberbrückungshilfe 1 |frequenzy: 1
NamedEntity-Miscellanies: Opposition;denn |frequenzy: 1
NamedEntity-Miscellanies: vorstellen – Wir |frequenzy: 1
NamedEntity-Miscellanies: Deutschland Sanktionen |frequenzy: 1
NamedEntity-Miscellanies: Betreibens  |frequenzy: 1
NamedEntity-Miscellanies: Arbeitsplätzen im Jahr  |frequenzy: 1
NamedEntity-Miscellanies: Ferrari rast |frequenzy: 1
NamedEntity-Miscellanies: BMF-Schreiben des Jahres |frequenzy: 1
NamedEntity-Miscellanies: Jahr 30 Jahre Wiedervereinigung |frequenzy: 1
NamedEntity-Miscellanies: Über ein Jahr Pandemie |frequenzy: 1
NamedEntity-Miscellanies: CO2-freien Dieselherstellern |frequenzy: 1
NamedEntity-Miscellanies: Mir und uns |frequenzy: 1
NamedEntity-Miscellanies: Bürgerdialog Stromnetz |frequenzy: 1
NamedEntity-Miscellanies: AfD Dr  Alexander Gauland |frequenzy: 1
NamedEntity-Miscellanies: Die Gelegenheit wollte ich wahrnehmen |frequenzy: 1
NamedEntity-Miscellanies: Bekenntnis zur europäischen Einigung |frequenzy: 1
NamedEntity-Miscellanies: Ortsbilder |frequenzy: 1
NamedEntity-Miscellanies: IT-Sicherheitsfragen |frequenzy: 1
NamedEntity-Miscellanies: Austauschen |frequenzy: 1
NamedEntity-Miscellanies: inArtikel 20  |frequenzy: 1
NamedEntity-Miscellanies: Analoges |frequenzy: 1
NamedEntity-Miscellanies: tolerieren – Warten |frequenzy: 1
NamedEntity-Miscellanies: Bundesschienenwegen |frequenzy: 1
NamedEntity-Miscellanies: CDU-Sozialausschüsse |frequenzy: 1
NamedEntity-Miscellanies: Herren „Das NetzDG |frequenzy: 1
NamedEntity-Miscellanies: Wir Europäerinnen und Europäer |frequenzy: 1
NamedEntity-Miscellanies: tlindner1982 |frequenzy: 1
NamedEntity-Miscellanies: Coronakampagne |frequenzy: 1
NamedEntity-Miscellanies: EU-Wahl  |frequenzy: 1
NamedEntity-Miscellanies: Folgeterminen |frequenzy: 1
NamedEntity-Miscellanies: Liebe Kollegin Lay |frequenzy: 1
NamedEntity-Miscellanies: Verfahrenssprachen |frequenzy: 1
NamedEntity-Miscellanies: Sekundärmigration |frequenzy: 1
NamedEntity-Miscellanies: Kulturpreises Deutsche Sprache |frequenzy: 1
NamedEntity-Miscellanies: Die Nächste |frequenzy: 1
NamedEntity-Miscellanies: Pakt für Forschung und Innovation dafür sorgen |frequenzy: 1
NamedEntity-Miscellanies: Sozialgesetzbuch III |frequenzy: 1
NamedEntity-Miscellanies: Türkei-Hilfen |frequenzy: 1
NamedEntity-Miscellanies: Tag auf dem Fußballplatz |frequenzy: 1
NamedEntity-Miscellanies: B-Länder |frequenzy: 1
NamedEntity-Miscellanies: Held der Stunde |frequenzy: 1
NamedEntity-Miscellanies: Strategiepapier Künstliche Intelligenz der Bundesregierung |frequenzy: 1
NamedEntity-Miscellanies: Ich will da nachhaken |frequenzy: 1
NamedEntity-Miscellanies: Tag der Morde |frequenzy: 1
NamedEntity-Miscellanies: EU Jetzt |frequenzy: 1
NamedEntity-Miscellanies: Europawahl in diesem Jahr wiederum Menschen |frequenzy: 1
NamedEntity-Miscellanies: antifaschistischen Positionen |frequenzy: 1
NamedEntity-Miscellanies: Kreditabteilungen |frequenzy: 1
NamedEntity-Miscellanies: Reichsstrafprozessordnung im Jahr  |frequenzy: 1
NamedEntity-Miscellanies: Wahlkampagnen |frequenzy: 1
NamedEntity-Miscellanies: Co die Schotten |frequenzy: 1
NamedEntity-Miscellanies: Vorsitzenden des Dachverbandes |frequenzy: 1
NamedEntity-Miscellanies: Die Rolle der Frauen |frequenzy: 1
NamedEntity-Miscellanies: Anti-BEPS  |frequenzy: 1
NamedEntity-Miscellanies: WSV 400 Ingenieure |frequenzy: 1
NamedEntity-Miscellanies: Millionen Toten |frequenzy: 1
NamedEntity-Miscellanies: und–  |frequenzy: 1
NamedEntity-Miscellanies: INSA |frequenzy: 1
NamedEntity-Miscellanies: ZDF-Kindernachrichtensendung |frequenzy: 1
NamedEntity-Miscellanies: Eigentumsrechtes |frequenzy: 1
NamedEntity-Miscellanies: Staatsterrorismus“ Die Reaktion |frequenzy: 1
NamedEntity-Miscellanies: Mütterrente I und II |frequenzy: 1
NamedEntity-Miscellanies: Gemeindediakon |frequenzy: 1
NamedEntity-Miscellanies: Wer Kinder und Jugendliche |frequenzy: 1
NamedEntity-Miscellanies: Ein Vergleich mit Frankreich |frequenzy: 1
NamedEntity-Miscellanies: Welt- |frequenzy: 1
NamedEntity-Miscellanies: CSU-geführte Ministerium |frequenzy: 1
NamedEntity-Miscellanies: Rosstäuscherei |frequenzy: 1
NamedEntity-Miscellanies: Für 133 Milliarden |frequenzy: 1
NamedEntity-Miscellanies: Das Herz unserer deutschen |frequenzy: 1
NamedEntity-Miscellanies: vier Jahre passieren |frequenzy: 1
NamedEntity-Miscellanies: PROWO |frequenzy: 1
NamedEntity-Miscellanies: russischen Gesprächskreis |frequenzy: 1
NamedEntity-Miscellanies: Vertrag für alle Deutschen |frequenzy: 1
NamedEntity-Miscellanies: Im Jahr 2009 |frequenzy: 1
NamedEntity-Miscellanies: immobilienwirtschaftliches |frequenzy: 1
NamedEntity-Miscellanies: NSU-Mordtrio |frequenzy: 1
NamedEntity-Miscellanies: IPCEI-Rahmen |frequenzy: 1
NamedEntity-Miscellanies: Verfassung unserer Republik |frequenzy: 1
NamedEntity-Miscellanies: Berufskraftfahrer-Qualifikations-Gesetz |frequenzy: 1
NamedEntity-Miscellanies: kreditär |frequenzy: 1
NamedEntity-Miscellanies: abzumildern – Wir |frequenzy: 1
NamedEntity-Miscellanies: Ausgleichsfonds |frequenzy: 1
NamedEntity-Miscellanies: Leerstandsproblematik |frequenzy: 1
NamedEntity-Miscellanies: CoV-19 |frequenzy: 1
NamedEntity-Miscellanies: CSU-Staatsregierung |frequenzy: 1
NamedEntity-Miscellanies: Das Gesetz ist im Hinblick |frequenzy: 1
NamedEntity-Miscellanies: Mainzer Medieninstituts |frequenzy: 1
NamedEntity-Miscellanies: Frauentages |frequenzy: 1
NamedEntity-Miscellanies: Protokoll1Anlage 13 |frequenzy: 1
NamedEntity-Miscellanies: GCM – Global Compact for Migration |frequenzy: 1
NamedEntity-Miscellanies: Kommunale |frequenzy: 1
NamedEntity-Miscellanies: Leitindustrien |frequenzy: 1
NamedEntity-Miscellanies: Unklaren 100 Millionen |frequenzy: 1
NamedEntity-Miscellanies: Bündnis für Frieden und Freiheit |frequenzy: 1
NamedEntity-Miscellanies: Vorsorgeprinzip  |frequenzy: 1
NamedEntity-Miscellanies: Medizinisch |frequenzy: 1
NamedEntity-Miscellanies: Frieden und für Sicherheit |frequenzy: 1
NamedEntity-Miscellanies: batterie­elektrisch |frequenzy: 1
NamedEntity-Miscellanies: Lufthansa-Vorstandsvorsitzende |frequenzy: 1
NamedEntity-Miscellanies: Zeitgeschehens |frequenzy: 1
NamedEntity-Miscellanies: Kollege Brand |frequenzy: 1
NamedEntity-Miscellanies: Le Monde“ Daher |frequenzy: 1
NamedEntity-Miscellanies: deutsch-niederländischen Grenze |frequenzy: 1
NamedEntity-Miscellanies: Ersten Eckpunkten |frequenzy: 1
NamedEntity-Miscellanies: CDU-Präsidiums |frequenzy: 1
NamedEntity-Miscellanies: stirbt 900 Milliarden! |frequenzy: 1
NamedEntity-Miscellanies: dran – Tut mir leid |frequenzy: 1
NamedEntity-Miscellanies: 1 Milliarde Euro für Streckenreaktivierungen |frequenzy: 1
NamedEntity-Miscellanies: Handelsbilanzergebnis |frequenzy: 1
