NamedEntity-Miscellanies: deutschen |frequenzy: 875
NamedEntity-Miscellanies: Hass-und-Hetze-Gesetz |frequenzy: 2
NamedEntity-Miscellanies: Weltkriege |frequenzy: 2
NamedEntity-Miscellanies: Dialogforen |frequenzy: 2
NamedEntity-Miscellanies: Euro-Dauerrettung |frequenzy: 2
NamedEntity-Miscellanies: Jahr 2000 |frequenzy: 2
NamedEntity-Miscellanies: Opferentschädigungsgesetz |frequenzy: 2
NamedEntity-Miscellanies: Hartz  |frequenzy: 2
NamedEntity-Miscellanies: Vertrauen |frequenzy: 2
NamedEntity-Miscellanies: saudi-arabische |frequenzy: 2
NamedEntity-Miscellanies: Feine Sahne Fischfilet |frequenzy: 2
NamedEntity-Miscellanies: Jahr reden |frequenzy: 2
NamedEntity-Miscellanies: SGB XII |frequenzy: 2
NamedEntity-Miscellanies: EUNAVFOR MED |frequenzy: 2
NamedEntity-Miscellanies: Europameister |frequenzy: 2
NamedEntity-Miscellanies: Kirchentag |frequenzy: 2
NamedEntity-Miscellanies: CO 2 -Einsparung |frequenzy: 2
NamedEntity-Miscellanies: Liebe zu Deutschland |frequenzy: 2
NamedEntity-Miscellanies: türkisches |frequenzy: 2
NamedEntity-Miscellanies: Windeseile |frequenzy: 2
NamedEntity-Miscellanies: Fall Wirecard |frequenzy: 2
NamedEntity-Miscellanies: Spezialkräfte |frequenzy: 2
NamedEntity-Miscellanies: EbnerMatthias GastelKai GehringStefan |frequenzy: 2
NamedEntity-Miscellanies: Unser Volk |frequenzy: 2
NamedEntity-Miscellanies: Covid-Patienten |frequenzy: 2
NamedEntity-Miscellanies: Wasserhaushaltsgesetz |frequenzy: 2
NamedEntity-Miscellanies: Der Steuerzahler |frequenzy: 2
NamedEntity-Miscellanies: GrundlAnja HajdukBritta HaßelmannDr |frequenzy: 2
NamedEntity-Miscellanies: gesamtgesellschaftliches |frequenzy: 2
NamedEntity-Miscellanies: Bürgerkriegs |frequenzy: 2
NamedEntity-Miscellanies: Meine Vorrednerin |frequenzy: 2
NamedEntity-Miscellanies: Ukrainern |frequenzy: 2
NamedEntity-Miscellanies: Insolvenzordnung |frequenzy: 2
NamedEntity-Miscellanies: Pew Research Centers |frequenzy: 2
NamedEntity-Miscellanies: Offenbarung des Johannes |frequenzy: 2
NamedEntity-Miscellanies: Brand |frequenzy: 2
NamedEntity-Miscellanies: DRGs |frequenzy: 2
NamedEntity-Miscellanies: EnEV |frequenzy: 2
NamedEntity-Miscellanies: FDP-Fraktion Dr  Andrew Ullmann |frequenzy: 2
NamedEntity-Miscellanies: SteinKerstin |frequenzy: 2
NamedEntity-Miscellanies: Tenure-Track-Programm |frequenzy: 2
NamedEntity-Miscellanies: zeitliches |frequenzy: 2
NamedEntity-Miscellanies: Der vorgelegte Gesetzentwurf |frequenzy: 2
NamedEntity-Miscellanies: Euro-Experiment |frequenzy: 2
NamedEntity-Miscellanies: San Suu Kyi |frequenzy: 2
NamedEntity-Miscellanies: Insektenschutzgesetz |frequenzy: 2
NamedEntity-Miscellanies: Ost-West-Konflikt |frequenzy: 2
NamedEntity-Miscellanies: Jahr 2003 |frequenzy: 2
NamedEntity-Miscellanies: Co |frequenzy: 2
NamedEntity-Miscellanies: Donth |frequenzy: 2
NamedEntity-Miscellanies: Ihre Steuergier |frequenzy: 2
NamedEntity-Miscellanies: Weltklima |frequenzy: 2
NamedEntity-Miscellanies: WSB-Kommission |frequenzy: 2
NamedEntity-Miscellanies: Aktiengesetz |frequenzy: 2
NamedEntity-Miscellanies: Invictus Games |frequenzy: 2
NamedEntity-Miscellanies: Mitnichten |frequenzy: 2
NamedEntity-Miscellanies: CO2-Zertifikate |frequenzy: 2
NamedEntity-Miscellanies: Bild“-Interview |frequenzy: 2
NamedEntity-Miscellanies: Gestern |frequenzy: 2
NamedEntity-Miscellanies: Matsch |frequenzy: 2
NamedEntity-Miscellanies: MagnitzJens MaierDr |frequenzy: 2
NamedEntity-Miscellanies: das Jahr  |frequenzy: 2
NamedEntity-Miscellanies: TARGET2-Salden |frequenzy: 2
NamedEntity-Miscellanies: Änderungsantrag |frequenzy: 2
NamedEntity-Miscellanies: Nicht-EU-Ländern |frequenzy: 2
NamedEntity-Miscellanies: Future Combat Air System |frequenzy: 2
NamedEntity-Miscellanies: HoltzDieter JanecekDr |frequenzy: 2
NamedEntity-Miscellanies: Kalte Krieg |frequenzy: 2
NamedEntity-Miscellanies: zehn Jahre später |frequenzy: 2
NamedEntity-Miscellanies: Dorsch |frequenzy: 2
NamedEntity-Miscellanies: 5  Juli |frequenzy: 2
NamedEntity-Miscellanies: Schul-Cloud |frequenzy: 2
NamedEntity-Miscellanies: Robert-Koch-Institutes |frequenzy: 2
NamedEntity-Miscellanies: ThomasHeilmannCDU/CSUThomas Heilmann |frequenzy: 2
NamedEntity-Miscellanies: BahrNezahat BaradariDoris BarnettDr |frequenzy: 2
NamedEntity-Miscellanies: GRÜNENKatrin |frequenzy: 2
NamedEntity-Miscellanies: Faktisch |frequenzy: 2
NamedEntity-Miscellanies: Impfpflicht |frequenzy: 2
NamedEntity-Miscellanies: Kanzleramt |frequenzy: 2
NamedEntity-Miscellanies: demoskopischen |frequenzy: 2
NamedEntity-Miscellanies: Gottes Willen |frequenzy: 2
NamedEntity-Miscellanies: Tür und Tor |frequenzy: 2
NamedEntity-Miscellanies: MDK |frequenzy: 2
NamedEntity-Miscellanies: AfD  Gegenprobe! |frequenzy: 2
NamedEntity-Miscellanies: ErnstSusanne |frequenzy: 2
NamedEntity-Miscellanies: LINKEKathrin |frequenzy: 2
NamedEntity-Miscellanies: Kantine |frequenzy: 2
NamedEntity-Miscellanies: gerechter |frequenzy: 2
NamedEntity-Miscellanies: Finanzbeziehungen |frequenzy: 2
NamedEntity-Miscellanies: Ihrem Bericht |frequenzy: 2
NamedEntity-Miscellanies: DDR-Propaganda |frequenzy: 2
NamedEntity-Miscellanies: Erwähnten |frequenzy: 2
NamedEntity-Miscellanies: Rechtsbruch |frequenzy: 2
NamedEntity-Miscellanies: Zentralverwaltungswirtschaft |frequenzy: 2
NamedEntity-Miscellanies: FabioDe |frequenzy: 2
NamedEntity-Miscellanies: Aufstand der Anständigen |frequenzy: 2
NamedEntity-Miscellanies: Internet  |frequenzy: 2
NamedEntity-Miscellanies: UweKekeritzBÜNDNIS 90/ |frequenzy: 2
NamedEntity-Miscellanies: Asylkrise |frequenzy: 2
NamedEntity-Miscellanies: Sanktionen gegen Russland |frequenzy: 2
NamedEntity-Miscellanies: Stiftungsrat |frequenzy: 2
NamedEntity-Miscellanies: Klägern |frequenzy: 2
NamedEntity-Miscellanies: Beste für unser Land |frequenzy: 2
NamedEntity-Miscellanies: Schlagworte |frequenzy: 2
NamedEntity-Miscellanies: JEFTA-Abkommen |frequenzy: 2
NamedEntity-Miscellanies: OECD-Ländern |frequenzy: 2
NamedEntity-Miscellanies: Arbeitsplätzen in Deutschland |frequenzy: 2
NamedEntity-Miscellanies: Nutri-Score |frequenzy: 2
NamedEntity-Miscellanies: GRÜNENHarald |frequenzy: 2
NamedEntity-Miscellanies: haben –  |frequenzy: 2
NamedEntity-Miscellanies: CO2-Fußabdruck |frequenzy: 2
NamedEntity-Miscellanies: Vorweihnachtszeit |frequenzy: 2
NamedEntity-Miscellanies: venezolanischen |frequenzy: 2
NamedEntity-Miscellanies: EZB  |frequenzy: 2
NamedEntity-Miscellanies: herangehen |frequenzy: 2
NamedEntity-Miscellanies: BeekFDPOlaf |frequenzy: 2
NamedEntity-Miscellanies: Das tun wir |frequenzy: 2
NamedEntity-Miscellanies: RidderSPDDr |frequenzy: 2
NamedEntity-Miscellanies: SchwarzRita |frequenzy: 2
NamedEntity-Miscellanies: SGB  |frequenzy: 2
NamedEntity-Miscellanies: Grünen Knopf |frequenzy: 2
NamedEntity-Miscellanies: Meine Güte |frequenzy: 2
NamedEntity-Miscellanies: Ihres Kollegen |frequenzy: 2
NamedEntity-Miscellanies: abenteuerlicher |frequenzy: 2
NamedEntity-Miscellanies: Jahr 2023 |frequenzy: 2
NamedEntity-Miscellanies: Verkehrswert |frequenzy: 2
NamedEntity-Miscellanies: Bekenntnis zur Demokratie |frequenzy: 2
NamedEntity-Miscellanies: BrandtChristine |frequenzy: 2
NamedEntity-Miscellanies: Minsker Abkommen |frequenzy: 2
NamedEntity-Miscellanies: CO2-Flottengrenzwerte |frequenzy: 2
NamedEntity-Miscellanies: somalische |frequenzy: 2
NamedEntity-Miscellanies: CO2 pro Jahr |frequenzy: 2
NamedEntity-Miscellanies: Top  |frequenzy: 2
NamedEntity-Miscellanies: Jüdin |frequenzy: 2
NamedEntity-Miscellanies: AfD-Sicht |frequenzy: 2
NamedEntity-Miscellanies: 40   |frequenzy: 2
NamedEntity-Miscellanies: Aachener |frequenzy: 2
NamedEntity-Miscellanies: EEGs |frequenzy: 2
NamedEntity-Miscellanies: Leistungsbereitschaft |frequenzy: 2
NamedEntity-Miscellanies: Gastrecht |frequenzy: 2
NamedEntity-Miscellanies: FDP-Gesetzentwurf |frequenzy: 2
NamedEntity-Miscellanies: eSport |frequenzy: 2
NamedEntity-Miscellanies: dänischer |frequenzy: 2
NamedEntity-Miscellanies: NATO-Doppelbeschluss |frequenzy: 2
NamedEntity-Miscellanies: herauszuziehen |frequenzy: 2
NamedEntity-Miscellanies: NATO-Vertrages |frequenzy: 2
NamedEntity-Miscellanies: Umfallen |frequenzy: 2
NamedEntity-Miscellanies: Risiko-Nutzen- |frequenzy: 2
NamedEntity-Miscellanies: Arbeitslosengeld-II-Empfängern |frequenzy: 2
NamedEntity-Miscellanies: NATO-Mitglied |frequenzy: 2
NamedEntity-Miscellanies: Fraktionsführung |frequenzy: 2
NamedEntity-Miscellanies: bürgerfreundlicher |frequenzy: 2
NamedEntity-Miscellanies: AfD-Kollegen |frequenzy: 2
NamedEntity-Miscellanies: Susanna |frequenzy: 2
NamedEntity-Miscellanies: NSU-Untersuchungsausschusses |frequenzy: 2
NamedEntity-Miscellanies: Zielland |frequenzy: 2
NamedEntity-Miscellanies: Christliche |frequenzy: 2
NamedEntity-Miscellanies: Bundesverkehrswegeplan  |frequenzy: 2
NamedEntity-Miscellanies: Hippie-Staat |frequenzy: 2
NamedEntity-Miscellanies: Hase und Igel |frequenzy: 2
NamedEntity-Miscellanies: Mehrfachidentitäten |frequenzy: 2
NamedEntity-Miscellanies: Herr Erdogan |frequenzy: 2
NamedEntity-Miscellanies: Lebensmittelhandel |frequenzy: 2
NamedEntity-Miscellanies: Warschauer Aufstand |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-Niveau |frequenzy: 2
NamedEntity-Miscellanies: NO x -Belastung |frequenzy: 2
NamedEntity-Miscellanies: Jahr 2050 |frequenzy: 2
NamedEntity-Miscellanies: Deutschen Einheit |frequenzy: 2
NamedEntity-Miscellanies: Anfang des Jahres |frequenzy: 2
NamedEntity-Miscellanies: EU-ropäische |frequenzy: 2
NamedEntity-Miscellanies: Massaker |frequenzy: 2
NamedEntity-Miscellanies: Leistungsgedanken |frequenzy: 2
NamedEntity-Miscellanies: CSUMark |frequenzy: 2
NamedEntity-Miscellanies: Vier Jahre lang |frequenzy: 2
NamedEntity-Miscellanies: Parlamentarier  |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-Karriere |frequenzy: 2
NamedEntity-Miscellanies: Raubes |frequenzy: 2
NamedEntity-Miscellanies: Jahre  |frequenzy: 2
NamedEntity-Miscellanies: Leopard-2-Panzer |frequenzy: 2
NamedEntity-Miscellanies: ukrainischer |frequenzy: 2
NamedEntity-Miscellanies: Teil der Europäischen Union |frequenzy: 2
NamedEntity-Miscellanies: Tesla |frequenzy: 2
NamedEntity-Miscellanies: Ergebnisses |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-Systems |frequenzy: 2
NamedEntity-Miscellanies: mexikanischen |frequenzy: 2
NamedEntity-Miscellanies: Konferenz in |frequenzy: 2
NamedEntity-Miscellanies: BachHeike |frequenzy: 2
NamedEntity-Miscellanies: Grüne Knopf |frequenzy: 2
NamedEntity-Miscellanies: CO2-Besteuerung |frequenzy: 2
NamedEntity-Miscellanies: Kooperationsbereitschaft  |frequenzy: 2
NamedEntity-Miscellanies: römische |frequenzy: 2
NamedEntity-Miscellanies: 6  Mai |frequenzy: 2
NamedEntity-Miscellanies: Zöpfe |frequenzy: 2
NamedEntity-Miscellanies: Denunziationshotline |frequenzy: 2
NamedEntity-Miscellanies: Nahostkonflikt |frequenzy: 2
NamedEntity-Miscellanies: ZeulnerPaul ZiemiakDr |frequenzy: 2
NamedEntity-Miscellanies: MindrupSusanne |frequenzy: 2
NamedEntity-Miscellanies: lade |frequenzy: 2
NamedEntity-Miscellanies: polnischem |frequenzy: 2
NamedEntity-Miscellanies: Lateinischen |frequenzy: 2
NamedEntity-Miscellanies: Sicherheitsrat der Vereinten Nationen |frequenzy: 2
NamedEntity-Miscellanies: Argumente |frequenzy: 2
NamedEntity-Miscellanies: Personalausweisgesetz |frequenzy: 2
NamedEntity-Miscellanies: Gesetzen  |frequenzy: 2
NamedEntity-Miscellanies: Sturm |frequenzy: 2
NamedEntity-Miscellanies: Hände über dem Kopf |frequenzy: 2
NamedEntity-Miscellanies: irische |frequenzy: 2
NamedEntity-Miscellanies: Agora |frequenzy: 2
NamedEntity-Miscellanies: christlich-abendländischen |frequenzy: 2
NamedEntity-Miscellanies: PahlmannSylvia |frequenzy: 2
NamedEntity-Miscellanies: japanischen |frequenzy: 2
NamedEntity-Miscellanies: Euro-Politik |frequenzy: 2
NamedEntity-Miscellanies: ’ |frequenzy: 2
NamedEntity-Miscellanies: Mieters |frequenzy: 2
NamedEntity-Miscellanies: Stern |frequenzy: 2
NamedEntity-Miscellanies: Der Vertrag |frequenzy: 2
NamedEntity-Miscellanies: Jahr 2014 |frequenzy: 2
NamedEntity-Miscellanies: Spanisch |frequenzy: 2
NamedEntity-Miscellanies: Jahr 2007 |frequenzy: 2
NamedEntity-Miscellanies: sind –  |frequenzy: 2
NamedEntity-Miscellanies: Kali |frequenzy: 2
NamedEntity-Miscellanies: Durchschnittsverdiener |frequenzy: 2
NamedEntity-Miscellanies: YouTuber |frequenzy: 2
NamedEntity-Miscellanies: TARGET2-Forderungen |frequenzy: 2
NamedEntity-Miscellanies: irgendwoher |frequenzy: 2
NamedEntity-Miscellanies: Beitragsjahre |frequenzy: 2
NamedEntity-Miscellanies: Fairer-Kassenwettbewerb-Gesetz |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-System |frequenzy: 2
NamedEntity-Miscellanies: Im Jahr 2020 |frequenzy: 2
NamedEntity-Miscellanies: European Recovery Program |frequenzy: 2
NamedEntity-Miscellanies: CETA-Abkommen |frequenzy: 2
NamedEntity-Miscellanies: Das Gesetz |frequenzy: 2
NamedEntity-Miscellanies: deutsche Grenze |frequenzy: 2
NamedEntity-Miscellanies: all die Jahre |frequenzy: 2
NamedEntity-Miscellanies: FDP-Fraktion Dr  Christian Jung |frequenzy: 2
NamedEntity-Miscellanies: BauerJens BeeckDr |frequenzy: 2
NamedEntity-Miscellanies: Bill-und-Melinda-Gates-Stiftung |frequenzy: 2
NamedEntity-Miscellanies: Dr  Florian Toncar |frequenzy: 2
NamedEntity-Miscellanies: IfSG |frequenzy: 2
NamedEntity-Miscellanies: links-grüne |frequenzy: 2
NamedEntity-Miscellanies: Kindern |frequenzy: 2
NamedEntity-Miscellanies: Intensivpflege |frequenzy: 2
NamedEntity-Miscellanies: Herren Kollegen |frequenzy: 2
NamedEntity-Miscellanies: Eines Tages |frequenzy: 2
NamedEntity-Miscellanies: Langzeitpflege |frequenzy: 2
NamedEntity-Miscellanies: Klauen |frequenzy: 2
NamedEntity-Miscellanies: Hochkonjunktur |frequenzy: 2
NamedEntity-Miscellanies: Hilfsgeldern |frequenzy: 2
NamedEntity-Miscellanies: AfD-Gesetzentwurf |frequenzy: 2
NamedEntity-Miscellanies: Meine Nachfrage |frequenzy: 2
NamedEntity-Miscellanies: Wahlrechtsreform |frequenzy: 2
NamedEntity-Miscellanies: Ein Mann |frequenzy: 2
NamedEntity-Miscellanies: Atomausstiegs |frequenzy: 2
NamedEntity-Miscellanies: Target-Salden |frequenzy: 2
NamedEntity-Miscellanies: PolsThomas |frequenzy: 2
NamedEntity-Miscellanies: Leuchttürmen |frequenzy: 2
NamedEntity-Miscellanies: Bundesbedarfsplangesetz |frequenzy: 2
NamedEntity-Miscellanies: Gott |frequenzy: 2
NamedEntity-Miscellanies: GRÜNENAgnieszka Brugger |frequenzy: 2
NamedEntity-Miscellanies: Dr CarstenBrodesserCDU |frequenzy: 2
NamedEntity-Miscellanies: Völkermord |frequenzy: 2
NamedEntity-Miscellanies: US-Administration |frequenzy: 2
NamedEntity-Miscellanies: EINEWELT ohne Hunger |frequenzy: 2
NamedEntity-Miscellanies: Göring-Eckardt |frequenzy: 2
NamedEntity-Miscellanies: PCR-Tests |frequenzy: 2
NamedEntity-Miscellanies: Schufa |frequenzy: 2
NamedEntity-Miscellanies: Political Correctness |frequenzy: 2
NamedEntity-Miscellanies: In der Tat |frequenzy: 2
NamedEntity-Miscellanies: 10   |frequenzy: 2
NamedEntity-Miscellanies: CO2-Preises |frequenzy: 2
NamedEntity-Miscellanies: Telekommunikationsgesetz |frequenzy: 2
NamedEntity-Miscellanies: COPSY-Studie |frequenzy: 2
NamedEntity-Miscellanies: Die Menschenrechte |frequenzy: 2
NamedEntity-Miscellanies: Wertverlust |frequenzy: 2
NamedEntity-Miscellanies: Bürgerkrieges |frequenzy: 2
NamedEntity-Miscellanies: Big Four |frequenzy: 2
NamedEntity-Miscellanies: Berlin  |frequenzy: 2
NamedEntity-Miscellanies: Erneuerbare-Energien-Gesetz  |frequenzy: 2
NamedEntity-Miscellanies: Jahr später |frequenzy: 2
NamedEntity-Miscellanies: Börsenstrompreis |frequenzy: 2
NamedEntity-Miscellanies: Peng |frequenzy: 2
NamedEntity-Miscellanies: irgendwelcher |frequenzy: 2
NamedEntity-Miscellanies: IT |frequenzy: 2
NamedEntity-Miscellanies: Deutschland im Jahr 2020 |frequenzy: 2
NamedEntity-Miscellanies: Justizbehörden |frequenzy: 2
NamedEntity-Miscellanies: Champions League |frequenzy: 2
NamedEntity-Miscellanies: MDK-Reformgesetz |frequenzy: 2
NamedEntity-Miscellanies: marktwirtschaftlicher |frequenzy: 2
NamedEntity-Miscellanies: TV-Geräten |frequenzy: 2
NamedEntity-Miscellanies: evangelischer |frequenzy: 2
NamedEntity-Miscellanies: KirstenTackmannDIE LINKEDr |frequenzy: 2
NamedEntity-Miscellanies: römischen |frequenzy: 2
NamedEntity-Miscellanies: StVO |frequenzy: 2
NamedEntity-Miscellanies: Mihalic |frequenzy: 2
NamedEntity-Miscellanies: Erneuerbare-Energien-Gesetzes |frequenzy: 2
NamedEntity-Miscellanies: 1   |frequenzy: 2
NamedEntity-Miscellanies: World Wide Web |frequenzy: 2
NamedEntity-Miscellanies: Youtube |frequenzy: 2
NamedEntity-Miscellanies: TARGET2-System |frequenzy: 2
NamedEntity-Miscellanies: BKA-Gesetz |frequenzy: 2
NamedEntity-Miscellanies: FranziskaGminderAfDFranziska Gminder |frequenzy: 2
NamedEntity-Miscellanies: Kanzlerin |frequenzy: 2
NamedEntity-Miscellanies: Dr GeorgKippelsCDU/CSUDr |frequenzy: 2
NamedEntity-Miscellanies: charmant |frequenzy: 2
NamedEntity-Miscellanies: Ein Jahr später |frequenzy: 2
NamedEntity-Miscellanies: Die letzte Frage |frequenzy: 2
NamedEntity-Miscellanies: Pranger |frequenzy: 2
NamedEntity-Miscellanies: Landtags |frequenzy: 2
NamedEntity-Miscellanies: Nanu |frequenzy: 2
NamedEntity-Miscellanies: Die deutsche Einheit |frequenzy: 2
NamedEntity-Miscellanies: Talmud |frequenzy: 2
NamedEntity-Miscellanies: JungAlois |frequenzy: 2
NamedEntity-Miscellanies: 100 Jahre Weimarer |frequenzy: 2
NamedEntity-Miscellanies: Verteilungskämpfe |frequenzy: 2
NamedEntity-Miscellanies: LuFV III |frequenzy: 2
NamedEntity-Miscellanies: INNO-KOM |frequenzy: 2
NamedEntity-Miscellanies: Pooling-Dienste |frequenzy: 2
NamedEntity-Miscellanies: TOP  |frequenzy: 2
NamedEntity-Miscellanies: Europawahl  |frequenzy: 2
NamedEntity-Miscellanies: Berufsbildungsgesetz |frequenzy: 2
NamedEntity-Miscellanies: hat?– |frequenzy: 2
NamedEntity-Miscellanies: HöhnAndrej |frequenzy: 2
NamedEntity-Miscellanies: CO2-Religion |frequenzy: 2
NamedEntity-Miscellanies: Dr  Hans Michelbach |frequenzy: 2
NamedEntity-Miscellanies: feministischer |frequenzy: 2
NamedEntity-Miscellanies: NATO-Streitkräften |frequenzy: 2
NamedEntity-Miscellanies: Codes of Conduct |frequenzy: 2
NamedEntity-Miscellanies: Mehr Kinder |frequenzy: 2
NamedEntity-Miscellanies: A400M |frequenzy: 2
NamedEntity-Miscellanies: Fridays-for-Future-Proteste |frequenzy: 2
NamedEntity-Miscellanies: Ihr Dilemma |frequenzy: 2
NamedEntity-Miscellanies: Ballungszentren |frequenzy: 2
NamedEntity-Miscellanies: Warschauer Pakt |frequenzy: 2
NamedEntity-Miscellanies: Fußball-WM in Russland |frequenzy: 2
NamedEntity-Miscellanies: Al-Quds-Tag |frequenzy: 2
NamedEntity-Miscellanies: Genderquatsch |frequenzy: 2
NamedEntity-Miscellanies: anzusprechen |frequenzy: 2
NamedEntity-Miscellanies: EUV |frequenzy: 2
NamedEntity-Miscellanies: moralistischen |frequenzy: 2
NamedEntity-Miscellanies: spanischen |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-Reformen |frequenzy: 2
NamedEntity-Miscellanies: Brandner  |frequenzy: 2
NamedEntity-Miscellanies: Trisomie  |frequenzy: 2
NamedEntity-Miscellanies: Entwicklungs- |frequenzy: 2
NamedEntity-Miscellanies: ifo-Instituts |frequenzy: 2
NamedEntity-Miscellanies: ’s  |frequenzy: 2
NamedEntity-Miscellanies: Lebensstandard |frequenzy: 2
NamedEntity-Miscellanies: Inkassowirtschaft |frequenzy: 2
NamedEntity-Miscellanies: Lohnunterschiede |frequenzy: 2
NamedEntity-Miscellanies: Bundesanwaltschaft |frequenzy: 2
NamedEntity-Miscellanies: Nacht von gestern |frequenzy: 2
NamedEntity-Miscellanies: TrägerUte VogtMarja-Liisa |frequenzy: 2
NamedEntity-Miscellanies: UllrichArnold |frequenzy: 2
NamedEntity-Miscellanies: Chinesische |frequenzy: 2
NamedEntity-Miscellanies: Fridays for Future |frequenzy: 2
NamedEntity-Miscellanies: Open Access |frequenzy: 2
NamedEntity-Miscellanies: VöllersDirk |frequenzy: 2
NamedEntity-Miscellanies: Weltvermögen |frequenzy: 2
NamedEntity-Miscellanies: Ihr Wort |frequenzy: 2
NamedEntity-Miscellanies: Ernteausfälle |frequenzy: 2
NamedEntity-Miscellanies: Auslands-Oscar |frequenzy: 2
NamedEntity-Miscellanies: Corona-Steuerhilfegesetze |frequenzy: 2
NamedEntity-Miscellanies: Klimagesetz |frequenzy: 2
NamedEntity-Miscellanies: Komfortzone |frequenzy: 2
NamedEntity-Miscellanies: Umtausch |frequenzy: 2
NamedEntity-Miscellanies: weibliches |frequenzy: 2
NamedEntity-Miscellanies: Viertes Gesetz zur Änderung des |frequenzy: 2
NamedEntity-Miscellanies: GüntzlerOlav GuttingChristian HaaseFlorian |frequenzy: 2
NamedEntity-Miscellanies: Ostdeutschen |frequenzy: 2
NamedEntity-Miscellanies: Halali |frequenzy: 2
NamedEntity-Miscellanies: Sie CO2-Emissionen |frequenzy: 2
NamedEntity-Miscellanies: Zur gleichen Zeit |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-Beziehern |frequenzy: 2
NamedEntity-Miscellanies: thermischen |frequenzy: 2
NamedEntity-Miscellanies: Hartz-IV-Regelsatz |frequenzy: 2
NamedEntity-Miscellanies: SteinigerChristian Frhr |frequenzy: 2
NamedEntity-Miscellanies: Profitieren |frequenzy: 2
NamedEntity-Miscellanies: Bildungsföderalismus |frequenzy: 2
NamedEntity-Miscellanies: Krim-Krise |frequenzy: 2
NamedEntity-Miscellanies: MünzSebastian |frequenzy: 2
NamedEntity-Miscellanies: Kündigungen |frequenzy: 2
NamedEntity-Miscellanies: nordrhein-westfälischen |frequenzy: 2
NamedEntity-Miscellanies: Sure  |frequenzy: 2
NamedEntity-Miscellanies: Hugenotten |frequenzy: 2
NamedEntity-Miscellanies: Dr MatthiasZimmerCDU |frequenzy: 2
NamedEntity-Miscellanies: Lockdown-Folgen |frequenzy: 2
NamedEntity-Miscellanies: Ich gucke |frequenzy: 2
NamedEntity-Miscellanies: Dr ChristophPloßCDU/ |frequenzy: 2
NamedEntity-Miscellanies: LöbelBernhard LoosDr |frequenzy: 2
NamedEntity-Miscellanies: SchummerArmin |frequenzy: 2
NamedEntity-Miscellanies: Meine lieben Kollegen |frequenzy: 2
NamedEntity-Miscellanies: Rettung der deutschen Wirtschaft und Gesellschaft |frequenzy: 2
NamedEntity-Miscellanies: PEPP |frequenzy: 2
NamedEntity-Miscellanies: Blutspende |frequenzy: 2
NamedEntity-Miscellanies: handwerkliche |frequenzy: 2
NamedEntity-Miscellanies: GroKo  |frequenzy: 2
NamedEntity-Miscellanies: iPhone |frequenzy: 2
NamedEntity-Miscellanies: Euro-Zone  |frequenzy: 2
NamedEntity-Miscellanies: Soldatenberufs |frequenzy: 2
NamedEntity-Miscellanies: EU-Türkei-Abkommen |frequenzy: 2
NamedEntity-Miscellanies: Bundesgesetzblatt |frequenzy: 2
NamedEntity-Miscellanies: NO 2 -Grenzwert |frequenzy: 2
NamedEntity-Miscellanies: sträflicher |frequenzy: 2
NamedEntity-Miscellanies: PTBS |frequenzy: 2
NamedEntity-Miscellanies: CSUArmin |frequenzy: 2
NamedEntity-Miscellanies: Realistisch |frequenzy: 2
NamedEntity-Miscellanies: wir im Jahr  |frequenzy: 2
NamedEntity-Miscellanies: Überleben |frequenzy: 2
NamedEntity-Miscellanies: Restschuldbefreiung |frequenzy: 2
NamedEntity-Miscellanies: Atomabkommens |frequenzy: 2
NamedEntity-Miscellanies: EU-only |frequenzy: 2
NamedEntity-Miscellanies: VJTF |frequenzy: 2
NamedEntity-Miscellanies: CO2-Speicher |frequenzy: 2
NamedEntity-Miscellanies: BrittaHaßelmannBÜNDNIS 90 |frequenzy: 2
NamedEntity-Miscellanies: Dieselpreis |frequenzy: 2
NamedEntity-Miscellanies: WanderwitzNina |frequenzy: 2
NamedEntity-Miscellanies: Ihres Gesetzes |frequenzy: 2
NamedEntity-Miscellanies: SchrodiUrsula |frequenzy: 2
NamedEntity-Miscellanies: neuseeländischen |frequenzy: 2
NamedEntity-Miscellanies: Kluges |frequenzy: 2
NamedEntity-Miscellanies: Hidden Champion |frequenzy: 2
NamedEntity-Miscellanies: Persischen Golf |frequenzy: 2
NamedEntity-Miscellanies: FFH-Richtlinie |frequenzy: 2
NamedEntity-Miscellanies: Opfergruppen |frequenzy: 2
NamedEntity-Miscellanies: Wissenschaftlichen Dienstes des Bundestages |frequenzy: 2
NamedEntity-Miscellanies: CSUIngrid |frequenzy: 2
NamedEntity-Miscellanies: Ihr Herz |frequenzy: 2
NamedEntity-Miscellanies: Innovationen |frequenzy: 2
NamedEntity-Miscellanies: ausspreche |frequenzy: 2
NamedEntity-Miscellanies: Liebe Gäste auf der Tribüne |frequenzy: 2
NamedEntity-Miscellanies: Zuschauern |frequenzy: 2
NamedEntity-Miscellanies: Pandagehege |frequenzy: 2
NamedEntity-Miscellanies: Forschungsbereichen |frequenzy: 2
NamedEntity-Miscellanies: TobiasPflügerDIE LINKETobias Pflüger |frequenzy: 2
